task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,manas,samskara_mean,moha_fraction,retrograde_fired,manas_peak_fraction
0,0,32,2.002978,0.261282,0,1.753403,0.0,0.269467,0.008889,0.250828,0.149511,0.364482,0.150754,0.0,0.834155,0.00902,0.0,0,0.570312
0,0,33,2.11812,0.298448,0,1.715732,0.0,0.272365,0.005926,0.253209,0.151152,0.363161,0.155409,0.0,0.858597,0.009316,0.0,0,0.572266
0,0,34,2.250133,0.320972,0,1.679946,0.0,0.277226,0.003951,0.256597,0.152562,0.362318,0.159909,0.0,0.883308,0.009609,0.0,0,0.580078
0,0,35,2.221121,0.346439,0,1.645948,0.0,0.284147,0.002634,0.261089,0.153397,0.362,0.164296,0.0,0.907627,0.009897,0.0,0,0.574707
0,0,36,2.125402,0.356193,0,1.613651,0.0,0.291352,0.001756,0.265844,0.15221,0.361884,0.168599,0.0,0.93202,0.010154,0.0,0,0.578613
0,0,37,2.178689,0.321357,0,1.582968,0.0,0.294352,0.001171,0.26862,0.151553,0.361073,0.172838,0.0,0.956095,0.010413,0.0,0,0.574707
0,0,38,2.235965,0.354593,0,1.55382,0.0,0.300376,0.00078,0.272919,0.148586,0.360944,0.177027,0.0,0.98005,0.010635,0.0,0,0.574707
0,0,39,1.901983,0.262824,0,1.526129,0.0,0.296621,0.00052,0.272414,0.147189,0.358981,0.181175,0.0,0.997659,0.010867,0.0,0,0.450195
0,1,0,2.308368,0.434674,0,1.499823,0.0,0.310426,0.000347,0.280527,0.145193,0.360495,0.185288,0.0,1.0,0.011081,0.0,0,0.578125
0,1,1,2.086743,0.392461,0,1.474831,0.0,0.31863,0.000231,0.286124,0.142619,0.361135,0.189372,0.0,1.0,0.011278,0.0,0,0.578125
0,1,2,2.007313,0.348875,0,1.45109,0.0,0.321654,0.000154,0.289261,0.141341,0.360889,0.193429,0.0,1.0,0.011483,0.0,0,0.57373
0,1,3,2.14283,0.348081,0,1.428535,0.0,0.324297,0.000103,0.292202,0.139343,0.360633,0.197461,0.0,1.0,0.011674,0.0,0,0.574219
0,1,4,2.127889,0.344107,0,1.407108,0.0,0.326278,6.9e-05,0.294797,0.134912,0.360303,0.20147,0.0,1.0,0.011821,0.0,0,0.57959
0,1,5,2.062045,0.325347,0,1.386753,0.0,0.326185,4.6e-05,0.296325,0.131562,0.359604,0.205457,0.0,1.0,0.011965,0.0,0,0.57373
0,1,6,2.133739,0.341839,0,1.367415,0.0,0.32775,3e-05,0.298601,0.125953,0.359248,0.209423,0.0,1.0,0.012062,0.0,0,0.567871
