task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,samskara_mean,moha_fraction,retrograde_fired
0,0,38,2.235804,0.357684,0,1.0,0.0,0.302089,0.00063,0.273959,0.129003,0.361427,0.177054,0.0,0.0,0.0,0
0,0,39,1.925624,0.261789,0,1.0,0.0,0.298059,0.00042,0.27335,0.129374,0.359434,0.181193,0.0,0.0,0.0,0
0,1,0,2.318472,0.441662,0,1.0,0.0,0.312419,0.00028,0.281766,0.125569,0.361079,0.185301,0.0,0.0,0.0,0
0,1,1,2.109426,0.402022,0,1.0,0.0,0.32138,0.000187,0.287779,0.12194,0.361898,0.18938,0.0,0.0,0.0,0
0,1,2,2.013738,0.35827,0,1.0,0.0,0.325069,0.000124,0.291303,0.120501,0.361825,0.193434,0.0,0.0,0.0,0
0,1,3,2.136768,0.345777,0,1.0,0.0,0.32714,8.3e-05,0.294027,0.119448,0.361504,0.197465,0.0,0.0,0.0,0
0,1,4,2.137849,0.350134,0,1.0,0.0,0.329439,5.5e-05,0.296832,0.114992,0.361277,0.201473,0.0,0.0,0.0,0
0,1,5,2.077531,0.330634,0,1.0,0.0,0.329559,3.7e-05,0.298522,0.109865,0.360664,0.205459,0.0,0.0,0.0,0
0,1,6,2.153502,0.347629,0,1.0,0.0,0.331366,2.5e-05,0.300978,0.102931,0.360403,0.209424,0.0,0.0,0.0,0
0,1,7,2.029154,0.344824,0,1.0,0.0,0.332712,1.6e-05,0.30317,0.098653,0.360092,0.213369,0.0,0.0,0.0,0
0,1,8,2.214379,0.372697,0,1.0,0.0,0.33671,1.1e-05,0.306646,0.093571,0.360344,0.217293,0.0,0.0,0.0,0
0,1,9,1.936292,0.311746,0,1.0,0.0,0.334214,7e-06,0.306901,0.089505,0.359372,0.221198,0.0,0.0,0.0,0
0,1,10,1.863892,0.310767,0,1.0,0.0,0.331869,5e-06,0.307095,0.084007,0.3584,0.225082,0.0,0.0,0.0,0
0,1,11,2.052414,0.361833,0,1.0,0.0,0.334865,3e-06,0.309832,0.079705,0.358468,0.228948,0.0,0.0,0.0,0
0,1,12,2.166544,0.361214,0,1.0,0.0,0.3375,2e-06,0.312401,0.075678,0.358523,0.232794,0.0,0.0,0.0,0
0,1,13,2.045502,0.319983,0,1.0,0.0,0.335749,1e-06,0.31278,0.072457,0.357753,0.23662,0.0,0.0,0.0,0
0,1,14,1.848614,0.313679,0,1.0,0.0,0.333542,1e-06,0.312825,0.069,0.356871,0.240428,0.0,0.0,0.0,0
0,1,15,2.243819,0.355645,0,1.0,0.0,0.335752,1e-06,0.314966,0.066236,0.356847,0.244216,0.0,0.0,0.0,0
0,1,16,1.932115,0.327911,0,1.0,0.0,0.334968,0.0,0.315613,0.062461,0.356268,0.247986,0.0,0.0,0.0,0
0,1,17,1.884493,0.305885,0,1.0,0.0,0.33206,0.0,0.315127,0.060516,0.35526,0.251736,0.0,0.0,0.0,0
0,1,18,2.083927,0.331062,0,1.0,0.0,0.33196,0.0,0.315923,0.057592,0.354776,0.255468,0.0,0.0,0.0,0
0,1,19,2.137677,0.321485,0,1.0,0.0,0.330912,0.0,0.316201,0.05623,0.354111,0.259182,0.0,0.0,0.0,0
0,1,20,1.894713,0.322499,0,1.0,0.0,0.330071,0.0,0.316516,0.053773,0.353478,0.262877,0.0,0.0,0.0,0
0,1,21,2.03571,0.35659,0,1.0,0.0,0.332723,0.0,0.31852,0.052979,0.353541,0.266553,0.0,0.0,0.0,0
0,1,22,1.989603,0.353513,0,1.0,0.0,0.334802,0.0,0.32027,0.052637,0.35354,0.270211,0.0,0.0,0.0,0
0,1,23,1.828143,0.3083,0,1.0,0.0,0.332152,0.0,0.319671,0.054024,0.352635,0.273851,0.0,0.0,0.0,0
0,1,24,1.90102,0.335643,0,1.0,0.0,0.332501,0.0,0.32047,0.052008,0.352295,0.277473,0.0,0.0,0.0,0
0,1,25,2.012442,0.344367,0,1.0,0.0,0.333687,0.0,0.321665,0.050884,0.352137,0.281076,0.0,0.0,0.0,0
0,1,26,1.971536,0.314374,0,1.0,0.0,0.331756,0.0,0.3213,0.049985,0.351382,0.284662,0.0,0.0,0.0,0
0,1,27,1.866634,0.307902,0,1.0,0.0,0.329371,0.0,0.32063,0.049363,0.350512,0.28823,0.0,0.0,0.0,0
0,1,28,1.920495,0.331198,0,1.0,0.0,0.329553,0.0,0.321159,0.048572,0.350126,0.29178,0.0,0.0,0.0,0
0,1,29,1.856855,0.326729,0,1.0,0.0,0.329271,0.0,0.321437,0.048623,0.349658,0.295312,0.0,0.0,0.0,0
0,1,30,1.89084,0.343477,0,1.0,0.0,0.330692,0.0,0.322539,0.04886,0.349534,0.298827,0.0,0.0,0.0,0
0,1,31,1.825228,0.34099,0,1.0,0.0,0.331721,0.0,0.323462,0.048267,0.349363,0.302324,0.0,0.0,0.0,0
0,1,32,1.89014,0.373655,0,1.0,0.0,0.335915,0.0,0.325971,0.04711,0.349849,0.305803,0.0,0.0,0.0,0
0,1,33,1.839471,0.381045,0,1.0,0.0,0.340428,0.0,0.328725,0.047161,0.350473,0.309266,0.0,0.0,0.0,0
