task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,manas,samskara_mean,moha_fraction,retrograde_fired,manas_peak_fraction
0,0,32,1.998241,0.26006,0,1.103843,0.0,0.268958,0.007177,0.250836,0.002958,0.364712,0.151015,0.0,0.728815,3.6e-05,0.0,0,0.525879
0,0,33,2.107789,0.297945,0,1.098651,0.0,0.271856,0.004784,0.253191,0.00305,0.363377,0.155587,0.0,0.751538,4e-05,0.0,0,0.527344
0,0,34,2.249858,0.323833,0,1.093719,0.0,0.277054,0.00319,0.256723,0.003319,0.362586,0.160031,0.0,0.774075,4.6e-05,0.0,0,0.525879
0,0,35,2.197025,0.337601,0,1.089033,0.0,0.283109,0.002126,0.260767,0.003241,0.362086,0.164379,0.0,0.79684,4.6e-05,0.0,0,0.532715
0,0,36,2.124916,0.353019,0,1.084581,0.0,0.2901,0.001418,0.26538,0.003081,0.361905,0.168656,0.0,0.819003,4.4e-05,0.0,0,0.522949
0,0,37,2.171562,0.32145,0,1.080352,0.0,0.293235,0.000945,0.268183,0.003051,0.361096,0.172877,0.0,0.840958,4.3e-05,0.0,0,0.520996
0,0,38,2.215282,0.355257,0,1.076334,0.0,0.299437,0.00063,0.272537,0.003027,0.360979,0.177054,0.0,0.862461,4.3e-05,0.0,0,0.51416
0,0,39,1.88084,0.265814,0,1.072518,0.0,0.296075,0.00042,0.272201,0.009062,0.359076,0.181193,0.0,0.875898,0.000115,0.0,0,0.35498
0,1,0,2.297861,0.432205,0,1.068892,0.0,0.309688,0.00028,0.280201,0.007836,0.360538,0.185301,0.0,0.897202,9.5e-05,0.0,0,0.513672
0,1,1,2.09239,0.397625,0,1.065447,0.0,0.318482,0.000187,0.286072,0.006561,0.36128,0.18938,0.0,0.918717,7.2e-05,0.0,0,0.52002
0,1,2,1.997141,0.346984,0,1.062175,0.0,0.321332,0.000124,0.289118,0.005737,0.360994,0.193434,0.0,0.939905,5e-05,0.0,0,0.515625
0,1,3,2.146425,0.350271,0,1.059066,0.0,0.324226,8.3e-05,0.292176,0.005176,0.36078,0.197465,0.0,0.960156,4.4e-05,0.0,0,0.499023
0,1,4,2.132823,0.346186,0,1.056113,0.0,0.326422,5.5e-05,0.294876,0.004531,0.360488,0.201473,0.0,0.981088,4.1e-05,0.0,0,0.514648
0,1,5,2.055078,0.331798,0,1.053307,0.0,0.326959,3.7e-05,0.296722,0.004016,0.359914,0.205459,0.0,1.0,4e-05,0.0,0,0.495605
0,1,6,2.137598,0.343714,0,1.050642,0.0,0.328635,2.5e-05,0.299072,0.003506,0.35959,0.209424,0.0,1.0,3.8e-05,0.0,0,0.48291
0,1,7,2.024418,0.34378,0,1.04811,0.0,0.330149,1.6e-05,0.301307,0.003293,0.359274,0.213369,0.0,1.0,3.7e-05,0.0,0,0.48291
0,1,8,2.204927,0.36182,0,1.045704,0.0,0.333316,1.1e-05,0.304333,0.003025,0.359325,0.217293,0.0,1.0,3.7e-05,0.0,0,0.480469
0,1,9,1.949281,0.317515,0,1.043419,0.0,0.331736,7e-06,0.304992,0.00281,0.358489,0.221198,0.0,1.0,3.7e-05,0.0,0,0.464844
0,1,10,1.852392,0.312651,0,1.041248,0.0,0.329828,5e-06,0.305375,0.002639,0.357572,0.225082,0.0,1.0,3.6e-05,0.0,0,0.46582
0,1,11,2.027082,0.352694,0,1.039186,0.0,0.332114,3e-06,0.307741,0.002697,0.357474,0.228948,0.0,1.0,3.8e-05,0.0,0,0.474609
0,1,12,2.155409,0.357262,0,1.037226,0.0,0.334629,2e-06,0.310217,0.002255,0.35747,0.232794,0.0,1.0,3.3e-05,0.0,0,0.461914
0,1,13,2.091357,0.330536,0,1.035365,0.0,0.33422,1e-06,0.311233,0.002293,0.356932,0.23662,0.0,1.0,3.4e-05,0.0,0,0.45459
0,1,14,1.824836,0.307268,0,1.033597,0.0,0.331525,1e-06,0.311035,0.002225,0.355938,0.240428,0.0,1.0,3.3e-05,0.0,0,0.456543
0,1,15,2.20974,0.339338,0,1.031917,0.0,0.332306,1e-06,0.31245,0.00217,0.355606,0.244216,0.0,1.0,3.2e-05,0.0,0,0.458008
0,1,16,1.9395,0.323177,0,1.030321,0.0,0.331393,0.0,0.312986,0.002029,0.354958,0.247986,0.0,1.0,3.1e-05,0.0,0,0.45166
0,1,17,1.892117,0.298766,0,1.028805,0.0,0.32813,0.0,0.312275,0.001916,0.353834,0.251736,0.0,1.0,3e-05,0.0,0,0.430176
0,1,18,2.102459,0.328653,0,1.027365,0.0,0.328183,0.0,0.313094,0.001826,0.35333,0.255468,0.0,1.0,3e-05,0.0,0,0.428711
0,1,19,2.141706,0.321997,0,1.025996,0.0,0.327564,0.0,0.313539,0.002047,0.352704,0.259182,0.0,1.0,3.3e-05,0.0,0,0.428711
0,1,20,1.893412,0.307862,0,1.024697,0.0,0.325594,0.0,0.313255,0.001833,0.351807,0.262877,0.0,1.0,3e-05,0.0,0,0.421387
0,1,21,1.997446,0.340216,0,1.023462,0.0,0.327056,0.0,0.314603,0.001759,0.351575,0.266553,0.0,1.0,2.8e-05,0.0,0,0.425293
0,1,22,1.98884,0.35217,0,1.022289,0.0,0.329567,0.0,0.316482,0.001993,0.351587,0.270211,0.0,1.0,3e-05,0.0,0,0.421387
0,1,23,1.857666,0.310417,0,1.021174,0.0,0.327652,0.0,0.316178,0.001985,0.350763,0.273851,0.0,1.0,3e-05,0.0,0,0.393066
0,1,24,1.868258,0.32806,0,1.020116,0.0,0.327693,0.0,0.316772,0.001979,0.350309,0.277473,0.0,1.0,3e-05,0.0,0,0.414062
0,1,25,1.967312,0.334779,0,1.01911,0.0,0.328402,0.0,0.317673,0.001681,0.349999,0.281076,0.0,1.0,2.6e-05,0.0,0,0.428223
0,1,26,1.94025,0.309607,0,1.018154,0.0,0.326522,0.0,0.31727,0.001638,0.349191,0.284662,0.0,1.0,2.5e-05,0.0,0,0.388184
0,1,27,1.855849,0.300473,0,1.017246,0.0,0.323917,0.0,0.31643,0.001603,0.348217,0.28823,0.0,1.0,2.4e-05,0.0,0,0.383789
0,1,28,1.930652,0.32611,0,1.016384,0.0,0.324137,0.0,0.316914,0.001282,0.347775,0.29178,0.0,1.0,1.9e-05,0.0,0,0.433105
0,1,29,1.879793,0.32766,0,1.015565,0.0,0.324489,0.0,0.317451,0.001124,0.347372,0.295312,0.0,1.0,1.6e-05,0.0,0,0.430176
0,1,30,1.876151,0.343223,0,1.014787,0.0,0.326362,0.0,0.31874,0.000899,0.347289,0.298827,0.0,1.0,1.3e-05,0.0,0,0.443359
0,1,31,1.835492,0.337743,0,1.014047,0.0,0.3275,0.0,0.31969,0.000719,0.347098,0.302324,0.0,1.0,1e-05,0.0,0,0.42627
0,1,32,1.882941,0.370417,0,1.013345,0.0,0.331792,0.0,0.322226,0.000575,0.347565,0.305803,0.0,1.0,7e-06,0.0,0,0.448242
0,1,33,1.861841,0.379598,0,1.012678,0.0,0.336573,0.0,0.325095,0.00046,0.348205,0.309266,0.0,1.0,5e-06,0.0,0,0.45459
0,1,34,1.922623,0.367798,0,1.012044,0.0,0.339695,0.0,0.32723,0.000759,0.348597,0.312711,0.0,1.0,8e-06,0.0,0,0.419434
0,1,35,1.94739,0.37083,0,1.011442,0.0,0.342809,0.0,0.32941,0.000705,0.349042,0.316139,0.0,1.0,7e-06,0.0,0,0.442871
0,1,36,1.895157,0.322752,0,1.01087,0.0,0.340803,0.0,0.329077,0.000759,0.348516,0.319549,0.0,1.0,8e-06,0.0,0,0.438477
0,1,37,1.827312,0.357927,0,1.010326,0.0,0.342515,0.0,0.330519,0.000998,0.348704,0.322943,0.0,1.0,1.1e-05,0.0,0,0.439453
0,1,38,2.143481,0.352388,0,1.00981,0.0,0.343503,0.0,0.331613,0.000994,0.348778,0.32632,0.0,1.0,1.1e-05,0.0,0,0.402344
0,1,39,2.051108,0.296548,0,1.009319,0.0,0.338807,0.0,0.32986,0.005189,0.347733,0.32968,0.0,1.0,6e-05,0.0,0,0.219727
0,2,0,2.111843,0.411307,0,1.008853,0.0,0.346057,0.0,0.333932,0.004542,0.349005,0.333023,0.0,1.0,4.8e-05,0.0,0,0.431152
0,2,1,2.101855,0.413912,0,1.008411,0.0,0.352843,0.0,0.337931,0.003829,0.350303,0.33635,0.0,1.0,3.3e-05,0.0,0,0.444824
0,2,2,1.899022,0.35666,0,1.00799,0.0,0.353224,0.0,0.338867,0.003356,0.35043,0.33966,0.0,1.0,2e-05,0.0,0,0.429688
0,2,3,1.904,0.361087,0,1.007591,0.0,0.354011,0.0,0.339978,0.003076,0.350643,0.342953,0.0,1.0,1.7e-05,0.0,0,0.433105
0,2,4,1.836852,0.37102,0,1.007211,0.0,0.355711,0.0,0.34153,0.002753,0.351051,0.34623,0.0,1.0,1.7e-05,0.0,0,0.426758
0,2,5,1.93486,0.382896,0,1.00685,0.0,0.35843,0.0,0.343599,0.0023,0.351688,0.349491,0.0,1.0,1.4e-05,0.0,0,0.432129
0,2,6,1.963325,0.361606,0,1.006508,0.0,0.358748,0.0,0.344499,0.002231,0.351886,0.352735,0.0,1.0,1.6e-05,0.0,0,0.412109
0,2,7,1.955654,0.375805,0,1.006183,0.0,0.360453,0.0,0.346064,0.002273,0.352365,0.355964,0.0,1.0,1.9e-05,0.0,0,0.401367
0,2,8,1.934152,0.345846,0,1.005873,0.0,0.358993,0.0,0.346053,0.002111,0.352234,0.359176,0.0,1.0,1.9e-05,0.0,0,0.394043
0,2,9,1.833828,0.323951,0,1.00558,0.0,0.355488,0.0,0.344948,0.00208,0.351669,0.362372,0.0,1.0,2.1e-05,0.0,0,0.381836
0,2,10,1.877648,0.335739,0,1.005301,0.0,0.353513,0.0,0.344488,0.002054,0.35135,0.365552,0.0,1.0,2.3e-05,0.0,0,0.373047
0,2,11,2.021838,0.343227,0,1.005036,0.0,0.352485,0.0,0.344425,0.002132,0.351187,0.368716,0.0,1.0,2.6e-05,0.0,0,0.372559
0,2,12,1.983577,0.325015,0,1.004784,0.0,0.349738,0.0,0.343454,0.002096,0.350664,0.371865,0.0,1.0,2.8e-05,0.0,0,0.358398
0,2,13,1.888932,0.338738,0,1.004545,0.0,0.348638,0.0,0.343219,0.002067,0.350425,0.374998,0.0,1.0,2.8e-05,0.0,0,0.373047
0,2,14,1.926294,0.319384,0,1.004318,0.0,0.345712,0.0,0.342027,0.00224,0.349805,0.378115,0.0,1.0,3.1e-05,0.0,0,0.379883
0,2,15,1.921635,0.332985,0,1.004102,0.0,0.34444,0.0,0.341575,0.002183,0.349468,0.381217,0.0,1.0,3.1e-05,0.0,0,0.361816
0,2,16,1.848832,0.311636,0,1.003896,0.0,0.341159,0.0,0.340078,0.00243,0.348712,0.384303,0.0,1.0,3.5e-05,0.0,0,0.362305
0,2,17,1.896326,0.302662,0,1.003702,0.0,0.33731,0.0,0.338207,0.00253,0.347791,0.387374,0.0,1.0,3.8e-05,0.0,0,0.34375
0,2,18,1.934086,0.357767,0,1.003517,0.0,0.339355,0.0,0.339185,0.002317,0.34799,0.390429,0.0,1.0,3.7e-05,0.0,0,0.38623
0,2,19,1.87734,0.372618,0,1.003341,0.0,0.342682,0.0,0.340857,0.002244,0.348483,0.393469,0.0,1.0,3.7e-05,0.0,0,0.402832
0,2,20,1.891499,0.36664,0,1.003174,0.0,0.345077,0.0,0.342146,0.002088,0.348846,0.396494,0.0,1.0,3.6e-05,0.0,0,0.382324
0,2,21,1.759259,0.3464,0,1.003015,0.0,0.34521,0.0,0.342358,0.001963,0.348797,0.399504,0.0,1.0,3.6e-05,0.0,0,0.394531
0,2,22,1.885738,0.370202,0,1.002864,0.0,0.347709,0.0,0.343751,0.001766,0.349225,0.402499,0.0,1.0,3.4e-05,0.0,0,0.401367
0,2,23,1.863074,0.393335,0,1.002721,0.0,0.352271,0.0,0.34623,0.001706,0.350107,0.405479,0.0,1.0,3.4e-05,0.0,0,0.404297
0,2,24,1.927218,0.349148,0,1.002585,0.0,0.351959,0.0,0.346376,0.001951,0.350088,0.408445,0.0,1.0,3.7e-05,0.0,0,0.393066
0,2,25,1.709684,0.336581,0,1.002456,0.0,0.350421,0.0,0.345886,0.002146,0.349818,0.411395,0.0,1.0,3.9e-05,0.0,0,0.379395
0,2,26,1.842044,0.358534,0,1.002333,0.0,0.351233,0.0,0.346518,0.002498,0.349992,0.414331,0.0,1.0,4.5e-05,0.0,0,0.383789
0,2,27,1.978245,0.372039,0,1.002216,0.0,0.353313,0.0,0.347794,0.00278,0.350433,0.417252,0.0,1.0,4.9e-05,0.0,0,0.383301
0,2,28,1.845844,0.344182,0,1.002105,0.0,0.3524,0.0,0.347614,0.002908,0.350308,0.420158,0.0,1.0,5.2e-05,0.0,0,0.373047
0,2,29,1.75355,0.35402,0,1.002,0.0,0.352562,0.0,0.347934,0.0034,0.350382,0.42305,0.0,1.0,6e-05,0.0,0,0.396973
0,2,30,1.685745,0.376709,0,1.0019,0.0,0.354977,0.0,0.349373,0.003501,0.350909,0.425928,0.0,1.0,6.4e-05,0.0,0,0.387207
0,2,31,1.759595,0.40994,0,1.001805,0.0,0.360473,0.0,0.352401,0.003778,0.35209,0.428791,0.0,1.0,7e-05,0.0,0,0.413574
0,2,32,1.789106,0.388846,0,1.001715,0.0,0.36331,0.0,0.354223,0.00351,0.352825,0.43164,0.0,1.0,6.9e-05,0.0,0,0.408691
0,2,33,1.833841,0.362877,0,1.001629,0.0,0.363267,0.0,0.354656,0.00359,0.353026,0.434475,0.0,1.0,7.3e-05,0.0,0,0.414062
0,2,34,1.643324,0.387921,0,1.001548,0.0,0.365732,0.0,0.356319,0.003946,0.353724,0.437295,0.0,1.0,8.2e-05,0.0,0,0.419922
0,2,35,1.913928,0.383128,0,1.00147,0.0,0.367472,0.0,0.35766,0.004231,0.354312,0.440102,0.0,1.0,9.1e-05,0.0,0,0.415527
0,2,36,1.652326,0.373504,0,1.001397,0.0,0.368075,0.0,0.358452,0.003971,0.354696,0.442894,0.0,1.0,9.3e-05,0.0,0,0.411133
0,2,37,1.737532,0.38834,0,1.001327,0.0,0.370102,0.0,0.359946,0.00386,0.355369,0.445673,0.0,1.0,9.7e-05,0.0,0,0.416992
0,2,38,1.839098,0.399962,0,1.001261,0.0,0.373088,0.0,0.361947,0.003772,0.35626,0.448437,0.0,1.0,0.0001,0.0,0,0.407715
0,2,39,1.595566,0.424968,0,1.001198,0.0,0.378276,0.0,0.365098,0.006631,0.357635,0.451188,0.0,1.0,0.000137,0.0,0,0.189941
0,3,0,1.73286,0.425362,0,1.001138,0.0,0.382984,0.0,0.368111,0.006086,0.358989,0.453926,0.0,1.0,0.00013,0.0,0,0.406738
0,3,1,1.899214,0.446282,0,1.001081,0.0,0.389314,0.0,0.37202,0.005357,0.360735,0.456649,0.0,1.0,0.000118,0.0,0,0.43457
0,3,2,2.119432,0.477241,0,1.001027,0.0,0.398107,0.0,0.377281,0.005262,0.363065,0.459359,0.0,1.0,0.000113,0.0,0,0.398926
0,3,3,1.917616,0.429835,0,1.000975,0.0,0.40128,0.0,0.379909,0.004991,0.364401,0.462056,0.0,1.0,0.00011,0.0,0,0.428223
0,3,4,1.588335,0.399436,0,1.000927,0.0,0.401095,0.0,0.380885,0.005165,0.365101,0.464739,0.0,1.0,0.000116,0.0,0,0.44043
0,3,5,1.807848,0.381191,0,1.00088,0.0,0.399105,0.0,0.3809,0.005304,0.365423,0.467408,0.0,1.0,0.000121,0.0,0,0.419434
0,3,6,1.802998,0.38381,0,1.000836,0.0,0.397575,0.0,0.381046,0.005122,0.365791,0.470064,0.0,1.0,0.000122,0.0,0,0.406738
0,3,7,1.947651,0.376132,0,1.000794,0.0,0.395431,0.0,0.3808,0.004879,0.365998,0.472708,0.0,1.0,0.000123,0.0,0,0.38916
0,3,8,1.842847,0.381528,0,1.000755,0.0,0.394041,0.0,0.380836,0.005075,0.366308,0.475337,0.0,1.0,0.000129,0.0,0,0.414551
0,3,9,1.914775,0.374886,0,1.000717,0.0,0.392125,0.0,0.380539,0.004646,0.36648,0.477954,0.0,1.0,0.000127,0.0,0,0.417969
0,3,10,1.825224,0.412772,0,1.000681,0.0,0.39419,0.0,0.382151,0.004205,0.367406,0.480558,0.0,1.0,0.000124,0.0,0,0.396973
0,3,11,1.686446,0.398997,0,1.000647,0.0,0.394671,0.0,0.382993,0.003755,0.368037,0.483149,0.0,1.0,0.00012,0.0,0,0.402344
0,3,12,1.812832,0.402359,0,1.000615,0.0,0.395439,0.0,0.383961,0.003883,0.368724,0.485726,0.0,1.0,0.000123,0.0,0,0.406738
0,3,13,1.86297,0.387663,0,1.000584,0.0,0.394662,0.0,0.384146,0.003985,0.369103,0.488291,0.0,1.0,0.000126,0.0,0,0.393066
0,3,14,1.871564,0.345441,0,1.000555,0.0,0.38974,0.0,0.382211,0.004262,0.368629,0.490844,0.0,1.0,0.000131,0.0,0,0.349121
0,3,15,1.797744,0.350901,0,1.000527,0.0,0.385856,0.0,0.380646,0.004777,0.368275,0.493383,0.0,1.0,0.000139,0.0,0,0.367188
0,3,16,1.721182,0.373748,0,1.000501,0.0,0.384645,0.0,0.380301,0.004993,0.368384,0.49591,0.0,1.0,0.000144,0.0,0,0.384766
0,3,17,1.734866,0.382342,0,1.000476,0.0,0.384415,0.0,0.380403,0.005069,0.368664,0.498424,0.0,1.0,0.000149,0.0,0,0.359375
0,3,18,1.838942,0.399442,0,1.000452,0.0,0.385917,0.0,0.381355,0.005129,0.369279,0.500926,0.0,1.0,0.000154,0.0,0,0.386719
0,3,19,1.698148,0.353814,0,1.000429,0.0,0.382707,0.0,0.379978,0.005373,0.36897,0.503415,0.0,1.0,0.000161,0.0,0,0.348633
0,3,20,1.855671,0.350331,0,1.000408,0.0,0.379469,0.0,0.378495,0.005177,0.368597,0.505891,0.0,1.0,0.000162,0.0,0,0.365234
0,3,21,1.679837,0.362815,0,1.000387,0.0,0.377804,0.0,0.377711,0.005997,0.368481,0.508356,0.0,1.0,0.000178,0.0,0,0.341797
0,3,22,1.796836,0.383799,0,1.000368,0.0,0.378403,0.0,0.378016,0.005774,0.368788,0.510808,0.0,1.0,0.00018,0.0,0,0.382324
0,3,23,1.841326,0.336761,0,1.00035,0.0,0.374239,0.0,0.375953,0.00667,0.368147,0.513248,0.0,1.0,0.000198,0.0,0,0.342285
0,3,24,1.779749,0.365096,0,1.000332,0.0,0.373325,0.0,0.37541,0.006606,0.368086,0.515675,0.0,1.0,0.000203,0.0,0,0.375488
0,3,25,1.740941,0.37339,0,1.000316,0.0,0.373331,0.0,0.375309,0.006652,0.368192,0.518091,0.0,1.0,0.00021,0.0,0,0.367188
0,3,26,1.866524,0.392703,0,1.0003,0.0,0.375269,0.0,0.376179,0.007568,0.368683,0.520495,0.0,1.0,0.000228,0.0,0,0.379395
0,3,27,1.798508,0.383747,0,1.000285,0.0,0.376116,0.0,0.376557,0.007812,0.368984,0.522886,0.0,1.0,0.000239,0.0,0,0.370605
0,3,28,1.777793,0.372888,0,1.00027,0.0,0.375794,0.0,0.376374,0.0083,0.369062,0.525266,0.0,1.0,0.000254,0.0,0,0.38916
0,3,29,1.871327,0.362294,0,1.000257,0.0,0.374444,0.0,0.37567,0.009179,0.368927,0.527633,0.0,1.0,0.000275,0.0,0,0.344727
0,3,30,1.655465,0.373671,0,1.000244,0.0,0.374366,0.0,0.37557,0.009004,0.369022,0.529989,0.0,1.0,0.000284,0.0,0,0.32959
0,3,31,1.761057,0.384634,0,1.000232,0.0,0.375393,0.0,0.376023,0.009156,0.369334,0.532334,0.0,1.0,0.000296,0.0,0,0.375
0,3,32,1.660849,0.400356,0,1.00022,0.0,0.377889,0.0,0.37724,0.009766,0.369954,0.534666,0.0,1.0,0.000317,0.0,0,0.38916
0,3,33,1.638216,0.363459,0,1.000209,0.0,0.376446,0.0,0.376551,0.010547,0.369824,0.536987,0.0,1.0,0.000341,0.0,0,0.38623
0,3,34,1.78184,0.409567,0,1.000199,0.0,0.379758,0.0,0.378201,0.010782,0.370619,0.539296,0.0,1.0,0.000361,0.0,0,0.412598
0,3,35,1.830938,0.41111,0,1.000189,0.0,0.382893,0.0,0.379847,0.010578,0.371429,0.541594,0.0,1.0,0.000373,0.0,0,0.397949
0,3,36,1.632816,0.401146,0,1.000179,0.0,0.384719,0.0,0.380912,0.010611,0.372023,0.54388,0.0,1.0,0.000389,0.0,0,0.380859
0,3,37,1.627217,0.405476,0,1.00017,0.0,0.386794,0.0,0.38214,0.010051,0.372692,0.546155,0.0,1.0,0.000397,0.0,0,0.398438
