task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,manas,samskara_mean,moha_fraction,retrograde_fired,manas_peak_fraction
0,0,32,2.000642,0.259954,0,1.588707,0.0,0.269729,0.007177,0.251204,0.061307,0.36478,0.151015,0.0,0.782369,0.003532,0.0,0,0.550781
0,0,33,2.12384,0.299945,0,1.559272,0.0,0.272751,0.004784,0.253641,0.061643,0.363484,0.155587,0.0,0.805874,0.003608,0.0,0,0.54834
0,0,34,2.248909,0.322661,0,1.531308,0.0,0.277742,0.00319,0.257092,0.06074,0.362667,0.160031,0.0,0.829628,0.003667,0.0,0,0.555664
0,0,35,2.221126,0.343586,0,1.504743,0.0,0.284326,0.002126,0.261417,0.060311,0.362285,0.164379,0.0,0.853214,0.003729,0.0,0,0.554688
0,0,36,2.129567,0.355296,0,1.479506,0.0,0.291423,0.001418,0.266111,0.059186,0.362146,0.168656,0.0,0.876658,0.003777,0.0,0,0.554199
0,0,37,2.181688,0.323832,0,1.45553,0.0,0.294664,0.000945,0.268997,0.059556,0.361379,0.172877,0.0,0.89996,0.003842,0.0,0,0.553711
0,0,38,2.221654,0.357118,0,1.432754,0.0,0.30091,0.00063,0.273403,0.058778,0.361294,0.177054,0.0,0.923195,0.003888,0.0,0,0.554688
0,0,39,1.908055,0.262314,0,1.411116,0.0,0.29705,0.00042,0.272849,0.065284,0.359315,0.181193,0.0,0.938769,0.004023,0.0,0,0.403809
0,1,0,2.298468,0.429001,0,1.39056,0.0,0.310245,0.00028,0.280656,0.061993,0.360708,0.185301,0.0,0.961663,0.004029,0.0,0,0.551758
0,1,1,2.104222,0.395285,0,1.371032,0.0,0.318749,0.000187,0.286388,0.059164,0.3614,0.18938,0.0,0.984663,0.004031,0.0,0,0.556152
0,1,2,2.003029,0.349088,0,1.35248,0.0,0.321783,0.000124,0.289523,0.056902,0.361154,0.193434,0.0,1.0,0.004034,0.0,0,0.547852
0,1,3,2.146657,0.350215,0,1.334857,0.0,0.324626,8.3e-05,0.292557,0.056361,0.360935,0.197465,0.0,1.0,0.004067,0.0,0,0.543457
0,1,4,2.131268,0.348583,0,1.318114,0.0,0.327022,5.5e-05,0.295359,0.053488,0.360688,0.201473,0.0,1.0,0.004064,0.0,0,0.544434
0,1,5,2.04444,0.326688,0,1.302208,0.0,0.326989,3.7e-05,0.296925,0.05031,0.360008,0.205459,0.0,1.0,0.004046,0.0,0,0.539551
0,1,6,2.138282,0.341368,0,1.287097,0.0,0.328426,2.5e-05,0.299147,0.046107,0.359635,0.209424,0.0,1.0,0.004004,0.0,0,0.533691
0,1,7,2.030006,0.341441,0,1.272743,0.0,0.329728,1.6e-05,0.301262,0.044112,0.359271,0.213369,0.0,1.0,0.003981,0.0,0,0.534668
0,1,8,2.21217,0.361261,0,1.259105,0.0,0.332881,1.1e-05,0.304262,0.04154,0.359311,0.217293,0.0,1.0,0.003943,0.0,0,0.530762
0,1,9,1.940233,0.310087,0,1.24615,0.0,0.330602,7e-06,0.304553,0.040068,0.358327,0.221198,0.0,1.0,0.003915,0.0,0,0.522461
