task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,samskara_mean,moha_fraction,retrograde_fired
0,0,37,2.179101,0.321738,0,1.582185,0.0,0.294504,0.001171,0.268784,0.149626,0.361183,0.172838,0.0,0.010367,0.0,0
0,0,38,2.231272,0.354243,0,1.553076,0.0,0.300478,0.00078,0.273057,0.147435,0.361045,0.177027,0.0,0.010595,0.0,0
0,0,39,1.901533,0.265209,0,1.525422,0.0,0.296951,0.00052,0.272665,0.148222,0.359128,0.181175,0.0,0.010853,0.0,0
0,1,0,2.293237,0.430765,0,1.499151,0.0,0.310332,0.000347,0.28057,0.145628,0.360561,0.185288,0.0,0.011061,0.0,0
0,1,1,2.094019,0.39545,0,1.474193,0.0,0.318844,0.000231,0.286314,0.142967,0.361258,0.189372,0.0,0.011257,0.0,0
0,1,2,1.997483,0.348547,0,1.450483,0.0,0.321814,0.000154,0.289425,0.141327,0.361004,0.193429,0.0,0.011458,0.0,0
0,1,3,2.135376,0.344465,0,1.427959,0.0,0.324079,0.000103,0.292177,0.140698,0.360673,0.197461,0.0,0.011668,0.0,0
0,1,4,2.127217,0.344563,0,1.406561,0.0,0.326128,6.9e-05,0.294797,0.136387,0.360351,0.20147,0.0,0.011817,0.0,0
0,1,5,2.063414,0.325699,0,1.386233,0.0,0.326085,4.6e-05,0.296342,0.133133,0.359658,0.205457,0.0,0.011966,0.0,0
0,1,6,2.137606,0.339362,0,1.366921,0.0,0.327412,3e-05,0.298493,0.127698,0.359252,0.209423,0.0,0.012072,0.0,0
0,1,7,2.026436,0.339024,0,1.348575,0.0,0.328574,2e-05,0.300519,0.122666,0.358848,0.213368,0.0,0.012166,0.0,0
0,1,8,2.218124,0.364247,0,1.331146,0.0,0.332141,1.4e-05,0.303706,0.117664,0.358956,0.217293,0.0,0.012244,0.0,0
0,1,9,1.941445,0.307081,0,1.314589,0.0,0.329635,9e-06,0.303874,0.112784,0.357918,0.221197,0.0,0.012308,0.0,0
0,1,10,1.864449,0.304577,0,1.298859,0.0,0.327129,6e-06,0.30391,0.10634,0.356851,0.225082,0.0,0.012332,0.0,0
0,1,11,2.043247,0.354369,0,1.283916,0.0,0.329853,4e-06,0.306433,0.101088,0.356802,0.228948,0.0,0.012354,0.0,0
0,1,12,2.160196,0.357997,0,1.26972,0.0,0.332667,3e-06,0.309011,0.096105,0.356826,0.232793,0.0,0.012364,0.0,0
0,1,13,2.075738,0.325348,0,1.256234,0.0,0.331936,2e-06,0.309828,0.09202,0.356196,0.23662,0.0,0.012373,0.0,0
0,1,14,1.832822,0.305821,0,1.243423,0.0,0.329324,1e-06,0.309627,0.087386,0.355189,0.240428,0.0,0.012358,0.0,0
0,1,15,2.218401,0.343067,0,1.231251,0.0,0.330698,1e-06,0.311299,0.08319,0.354946,0.244216,0.0,0.012335,0.0,0
0,1,16,1.937857,0.322056,0,1.219689,0.0,0.329834,1e-06,0.311837,0.080517,0.354288,0.247986,0.0,0.01232,0.0,0
0,1,17,1.888461,0.301239,0,1.208704,0.0,0.326975,0.0,0.311307,0.077695,0.353227,0.251736,0.0,0.012293,0.0,0
0,1,18,2.109856,0.32783,0,1.198269,0.0,0.32706,0.0,0.312133,0.074656,0.35272,0.255468,0.0,0.012254,0.0,0
0,1,19,2.147335,0.320559,0,1.188356,0.0,0.32641,0.0,0.312555,0.072908,0.352076,0.259182,0.0,0.012224,0.0,0
0,1,20,1.887201,0.312276,0,1.178938,0.0,0.324997,0.0,0.312541,0.070729,0.35128,0.262877,0.0,0.012183,0.0,0
0,1,21,2.009118,0.347781,0,1.169991,0.0,0.327275,0.0,0.314303,0.069669,0.35121,0.266553,0.0,0.012153,0.0,0
0,1,22,2.013649,0.357961,0,1.161491,0.0,0.330344,0.0,0.316486,0.070774,0.351345,0.270211,0.0,0.012152,0.0,0
0,1,23,1.851452,0.305847,0,1.153417,0.0,0.327894,0.0,0.315954,0.071951,0.350435,0.273851,0.0,0.012154,0.0,0
0,1,24,1.875133,0.325033,0,1.145746,0.0,0.327608,0.0,0.316408,0.071038,0.349927,0.277473,0.0,0.012129,0.0,0
